Município,CNES,Nome da UBS,Calendário vacinal afixado em local visível,Há controle de acesso por meio de chave ou senha à área das vacinas,A sala de vacina é utilizada exclusivamente para este fim,Marque quais dos itens abaixo estão FALTANDO na sala de vacina inspecionada,Materiais perfurocortantes são descartados adequadamente,As seringas e agulhas estão em recipientes fechados e limpos,Sala de vacina climatizada,Sala de vacina dispõe de paredes e pisos laváveis e de fácil higienização,O equipamento de refrigeração está susceptível à luz solar direta,Como é registrada a data de abertura do frasco em vacinas multidose,Foi verificada a falta de quais vacinas listadas abaixo,Existem caixas térmicas/isopores sendo utilizadas para outras finalidades,A temperatura interna das caixas térmicas/isopor com vacinas está sendo monitorada continuamente,Tipos de equipamentos utilizados para estocagem das vacinas,Equipamento de armazenamento exclusivo para as vacinas,Tomada elétrica é exclusiva do equipamento,Equipamento mal conservado ou com problemas de funcionamento,Mnutenção dentro da data de validade,Painel de exibição de temperatura funcional,Temperatura interna do equipamento está sendo monitorada por termômetro,Temperatura no painel do equipamento entre 2°C e 8°C,Mecanismo de proteção contra queda de energia,Anotações diárias da temperatura em formulário próprio,Houve alteração anormal da temperatura do equipamento que armazena as vacinas,Como é feito o registro da vacinação,Controle pela ESF do acompanhamento das crianças de 0-1 ano de idade com vacinação em atraso,Agentes da ESF realizaram busca ativa de crianças de 0-1 ano com vacinação em atraso em abril/2023,Quantitativo de crianças de 0-1 ano de idade cadastradas na UBS,Quantitativo de crianças de 0-1 ano de idade com calendário vacinal em atraso em abril/2023,Documentos da última supervisão realizada pela Gestão de saúde municipal nas salas de vacinação,Documentos da última manutenção nos equipamentos de refrigeração,Documentos da designação formal do responsável técnico,Cobertura Vacinal
Condado,2637073,UNIDADE DE SAUDE DA FAMILIA NOVA VIDA,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,1.0,1,0,0.9334749999999999
Condado,3021572,UNIDADE DE SAUDE DA FAMILIA QUIRIZEIRA LOURIVAL LIMA,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,1,0,0.9334749999999999
Condado,2637103,UNIDADE DE SAUDE DA FAMILIA NOVO CONDADO,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,1.0,1,0,0.9334749999999999
Condado,3481883,UNIDADE DE SAUDE DA FAMILIA PATRIMONIO FRANCISCO CABRAL,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,1,0,0.9334749999999999
Salgadinho,2428202,Sobradinho,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,0.5,1,1,1,1,0.0,0,0,0.804025
Salgadinho,2428172,Queimados,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.0,1,0.5,1,1,1,1,0.0,0,0,0.804025
Salgadinho,984493,Araras,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.0,1,0.5,0,1,1,1,0.0,0,0,0.804025
Tracunhaém,9401377,UBS RENASCER,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1.0,1,1.0,1,1,1,0,1.0,0,1,0.884225
Salgadinho,2428199,Maria Amélia,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.0,1,0.5,0,0,1,1,0.0,0,0,0.804025
Jaqueira,6137008,Dorinha Rodrigues,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0.5,1,0.5,1,1,1,0,1.0,0,1,0.912775
Tracunhaém,160385,UBS LIBERDADE,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0.5,1,1.0,1,1,1,0,0.0,0,1,0.884225
Capoeiras,5452864,Gildo Marques de Andrade,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1.0,0,1.0,1,1,1,1,1.0,1,1,0.910425
Jaqueira,2712288,Alto da Boa Vista,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1.0,1,1.0,0,0,1,0,1.0,0,1,0.912775
Gameleira,5034957,UNIDADE DE SAUDE DA FAMILIA GUTEMBERG CRUZ DE SANTANA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,0,0.8921000000000001
Caetés,2632721,Ponto Alegre,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
Tracunhaém,2347121,UBS Teto do povo,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.0,1,1.0,1,1,1,0,1.0,0,1,0.884225
Caetés,2632667,Rua Nova,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
Gameleira,2435527,UNIDADE DE SAUDE DA FAMILIA SANTA LUZIA,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,1.0,0,0,0.8921000000000001
Gameleira,2435500,UNIDADE DE SAUDE DA FAMILIA SANTA MARIA,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,0,0.8921000000000001
Caetés,6467016,Atoleiro,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
Gameleira,2435519,UNIDADE DE SAUDE DA FAMILIA SANTA TEREZINHA,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,0,0.8921000000000001
Tracunhaém,2347156,UBS Bairro Novo,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1.0,1,1.0,1,1,1,0,0.0,0,1,0.884225
Gameleira,2435535,UNIDADE DE SAUDE DA FAMILIA SAO FRANCISCO DE ASSIS,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,0,0.8921000000000001
Caetés,5838797,Miguel Arraes,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
Jaqueira,2712318,Jaqueira,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0.0,1,0.5,1,0,1,0,1.0,0,1,0.912775
Caetés,2632705,Quati,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
Tracunhaém,3756661,UBS Belo Oriente,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,1,1,1,0,1.0,0,1,0.884225
Caetés,2632675,Queimada Grande,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,0,1.1151
Caetés,9470808,Piador,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
Caetés,9470786,Sítio Barriguda,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
Tracunhaém,2347148,UBS Acudinho,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,1,1,1,0,1.0,0,1,0.884225
Caetés,2632691,Várzea de Dentro,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1.0,0,1.0,1,1,1,0,0.0,0,0,1.1151
Caetés,2632683,Várzea Suja,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
Caetés,941190,Bastiões,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,1,1.1151
Jaqueira,2712296,Frei Caneca,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0.5,1,0.5,1,0,1,0,1.0,0,0,0.912775
Xexéu,2315319,PSF-1 Posto Benedito Lopes de Lima,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0.5,1,1.0,0,0,1,1,0.0,0,0,0.7582
Xexéu,2315327,PSF-2 José Gonçalves de Lima,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0.5,1,1.0,0,0,1,0,0.0,0,0,0.7582
Xexéu,3496236,PSF-3 Nelson Uchôa Barreto,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0.5,0,1.0,0,0,1,1,0.0,0,1,0.7582
Xexéu,2356252,PSF-4 Campos Frios,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,1,0.0,0,0,0.7582
Xexéu,2706717,PSF-V Engenho Beleza,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0.5,1,1.0,0,0,1,1,0.0,0,0,0.7582
Xexéu,2347555,PSF-6 Engenho Limão,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,1,0.0,0,0,0.7582
Xexéu,7088760,PSF-7 Raquel Gouveia,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0.5,0,1.0,0,0,1,1,0.0,0,0,0.7582
Buíque,2633574,UBS Guanumby,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.0,1,1.0,0,0,1,0,0.0,0,0,0.965
Buíque,2633604,UBS Tanque,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
Buíque,2633639,UBS da Seriinha,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1.0,0,1.0,1,0,1,0,0.0,0,0,0.965
Buíque,2633566,UBS Amaro,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
Buíque,2633566,UBS Amaro (Anexo),0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1.0,0,1.0,1,0,1,0,0.0,0,0,0.965
Buíque,2633663,UBS Frei Damião I,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
Buíque,2633582,UBS Carneiro,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
Buíque,4022572,UBS Frei Damião 3,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
Buíque,9015523,São José II,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
Buíque,2633655,UBS São José,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
Buíque,2633647,UBS Vila do Posto I,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
Buíque,9938478,UBS Vila do Posto II,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,1,0,1,0,0.0,0,0,0.965
Buíque,2633612,UBS Riachão,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.965
Jaqueira,3152472,Lage Nova,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,0.5,0,0,1,0,1.0,0,1,0.912775
São Benedito do Sul,2713659,UBS Oratório,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,0.0,0,1,0.84775
São Benedito do Sul,2713640,Igarapeba,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,0.0,0,1,0.84775
São Benedito do Sul,2712601,Santa Rita,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,0.0,0,1,0.84775
Ibimirim,3415104,UBS Areia Branca,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,0,0.8129249999999999
Ibimirim,2634031,UBS Padre Cícero,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,0,0.8129249999999999
Ibimirim,3508005,UBS Alto da Floresta,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,1,1,0,0.0,0,0,0.8129249999999999
Ibimirim,2633930,UBS Lajes,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,0.0,0,0,0.8129249999999999
Ibimirim,2703823,UBS Boa Vista,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,0,1,0,0.0,0,0,0.8129249999999999
Ibimirim,2633981,UBS Agrovila V,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,1,1,0,0.0,0,0,0.8129249999999999
Ibimirim,2633949,UBS Agrovila IV,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,0.0,0,0,0.8129249999999999
Ibimirim,2633965,UBS - Poço do Boi,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,1,0.0,0,0,0.8129249999999999
Ibimirim,2633922,UBS - Campos,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,0.0,0,0,0.8129249999999999
Ibimirim,2634015,UBS - Poço da Cruz,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,0.0,0,0,0.8129249999999999
Jupi,2631989,PSF Augusto Ferreira de Almeida,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1.0,0,0,1,0,1.0,1,0,0.9646750000000001
Jupi,2631970,PSF Mauro André de Oliveira,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.5,0,1.0,0,0,1,0,0.0,1,0,0.9646750000000001
Jupi,2631962,PSF João  Monteiro,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,1,0,0.9646750000000001
Jupi,2632004,PSF Catonho,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,1.0,0,0,0.9646750000000001
Jupi,2631997,PSF José Quintino,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,0,0.9646750000000001
Jupi,2632012,PSF Nossa Senhora do Rosário,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,0,0.9646750000000001
Jupi,6431763,Miguel Pedro de Brito,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,1,1,1,1.0,1,0,0.9646750000000001
Afrânio,6420281,José Ramos,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,0,1,0.982225
Toritama,6998402,USF CENTRO II,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1.0,0,0.5,0,0,1,1,0.0,0,0,0.8274750000000001
Sertânia,3316637,Mario Melo,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
Toritama,2704080,PSF CENTRO,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0,1.0,0,0,1,0,0.0,1,0,0.8274750000000001
Itambé,2429055,UNIDADE DE SAUDE DA FAMILIA DA SALGADEIRA,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,0,1.2798
Sertânia,2633140,Vila da Cohab,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
Itambé,2429063,UNIDADE DE SAUDE DA FAMILIA LOTEAMENTO FIGUEIREDO,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,0,1.2798
Toritama,2964104,UBS VILA SAO BENEDITO,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0.5,0,1.0,0,0,1,1,0.0,0,0,0.8274750000000001
Sertânia,2633094,13 de maio,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
Toritama,7981589,UBS DEUS E FIEL,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1.0,1,1.0,0,0,1,0,0.0,1,0,0.8274750000000001
Araçoiaba,2712458,ESF I Dom Elder Câmara,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,0,1.0,1,1,1,0,1.0,0,1,0.8958250000000001
Toritama,2631202,PSF INDEPENDENTE,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,1.0,0,0,1,1,0.0,1,0,0.8274750000000001
Araçoiaba,2712466,ESF II Dom Elder Câmara,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1.0,1,1.0,1,1,1,0,1.0,0,1,0.8958250000000001
Toritama,2631210,PSF COHAB,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0.5,0,1.0,0,0,1,1,0.0,0,0,0.8274750000000001
Araçoiaba,2712474,ESF III Dom Elder Câmara,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,1,1,1,0,1.0,0,1,0.8958250000000001
Sertânia,7507569,Ferro velho/ferro novo,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
Toritama,7284713,USF COQUEIRAL,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,0,1,0,0.0,0,0,0.8274750000000001
Sertânia,2633108,Alto Rio Branco,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
Toritama,2631199,PSF SAO JOAO,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,0,1,1,1,0.0,0,0,0.8274750000000001
Capoeiras,3726886,USF MANOEL DA COSTA TEIXEIRA,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,0,1.0,1,1,1,0,1.0,1,1,0.910425
Toritama,7000065,USF CENTRO III,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0.5,0,1.0,0,0,1,0,0.0,0,0,0.8274750000000001
Araçoiaba,2712482,ESF IV Tereza Maria da Silva,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,1.0,0,1,0.8958250000000001
Araçoiaba,3873269,ESF V Dr Ricardo Fiuza,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,1,1,1,0,1.0,0,1,0.8958250000000001
Araçoiaba,3873277,ESF VI Dr Ricardo Fiuza,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1.0,1,1.0,1,1,1,0,1.0,0,1,0.8958250000000001
Capoeiras,234885,USF MARIA ZÉLIA,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,1.0,1,1,0.910425
Sertânia,7511620,Cerâmica,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
Sertânia,904538,Nova Sertânia,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
Sertânia,2633124,Albuquerque NE,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
Capoeiras,2703688,USF OLHO D'ÁGUA,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1.0,1,1.0,1,1,1,0,1.0,1,1,0.910425
Sertânia,2633086,Cruzeiro do Nordeste,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
Sertânia,2633167,Rio da Barra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
Sertânia,2703734,Caroalina,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
Sertânia,2633159,Algodões,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1.0,1,1.0,1,1,1,1,1.0,1,1,0.7811
Itambé,2429047,UNIDADE DE SAUDE DA FAMILIA LOTEAMENTO LUIZ GONZAGA,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,0,1.0,0,0,1,0,1.0,0,0,1.2798
Itambé,3798127,P S F FRANCISCO CORDEIRO,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1.0,1,1.0,0,0,1,0,1.0,0,1,1.2798
